wallet_address,points
0xE5E9BCC417B8210A0f6953e163682da32074c44A,1768
0x467dC86CC93F3B4de4471C58B5bEb8971EFcc098,1755
0xdeB679F97db9C8cBE0fAfEf1e7d7B5b68814E973,1754
0x3b0C731202cb21C54F94A3b3D5586255d98b9755,1710
0xE647504A51C7B46d26DCF80805C4f0bCEe70220B,1695
0x0F4C22F6DD6FB421A7f615C2960DA3062dEA442C,1692.5
0x82616b6750C84EFf22C26a6286672A3FbAd6de33,1682
0x3A23D1eADD8eb1C74A6CCb5D6e4562db0778a8df,1679
0xfb180fB20a7a09BA148D51d8083C89FDEe94E65E,1675
0xe3930BefC0Fc33A17D67062e74e6264832242D6C,1672.5
0xe9D83837877bDF126Ae99a329F612adb4D70d982,1625
0xc27CCB65F83F4ce4b1C5a560604BF4911198daF0,1604
0x34DdC703dA2a91Ec32Ee7a7bBB002b6dc3D86551,1548.5
0x2dE6eA921c755AF8fb00D894DF23842dfa9f1131,1548
0xEA3339a9AaC6e3C7eFECd9E9c9993f3A0163d7be,1538.5
0xBDd1e4FD2aaD993EB5954dD6Dff6824e43763f5e,1534
0x73c606f6182B0FA1E5612Be9e93f372C78d6572d,1527
0x16A7d73D8A5B4716d7a1d5338519c821eef3B08a,1514
0x911797CBd0D2bF13B3880Cf869d636930a9719e9,1511
0x292Ce89FEA9b4930845ee600e91A65e726d96134,1510
0xCbac7E254D2e026E52183322E1b8882aAb4Bf9a0,1505.5
0x41B228C5809BDbe40f67Ac9A6565Ff9006416B1d,1500
0x9FF8eaBb78023a7F7b83055c5125c450538cbd13,1470
0x06B2F220Fc9a124C263F982a84a5bCD11c59fC48,1453
0xaC6d9220E99d9D229B411d8889D1bD1c4C88ff6b,1437
0x549dC38A9546f936495C677CC33Ff4D46d026225,1421.5
0x3C97F4540CAbFA61D5a0B913F678169eb74be62c,1420
0xBfe79f87ACd5b339A988C2C02E35d14C9F4A1DDA,1420
0x9E92f056b1eD6DC12cbE726F2B17f21a908A8382,1415
0x619336eF91F75E0803c6b9b6D42E6315c0b72c64,1390
0x9d44aC26AFcE1428f26a04009c89d576e72967f4,1377
0xBbb514f18B8bDC7ea394e744eFefebC46c4218f8,1368.5
0x8527481777656F9faEC9Ca0087Dc8ac25d33e308,1348.5
0x5223f3363017fEAdf7e146c31b9148692fD25c2e,1345
0x374801c2999C8c41202e3f9245290570DbbC7D76,1335
0xe84ca857B5e90E61c8F16c2D30A48f54E6Fe63D8,1328
0x4bF62a480b983dc3B7DA1211Ecb26B5470E314CD,1325
0xe9b276E5Be750B940Ce4Fcd557D6ce585CCf0717,1320
0x81E7B867902A37330f64593A4c10F6215Eb079CF,1295
0x8d3Fcf0Fd9Fb1C21eaEC09B7F19f6003f2D344F1,1290
0xeBd006e3Eb609208b390617A4527ECC26315FD83,1285
0xcA9cd9F15335940D644Fc23e5FE13a37229AFd19,1280
0x14c9ca9a81e0B7317631d813B341Dd597a0f4233,1270
0x45eB981156cB0AF17b4bE135362865e6D4adF5c8,1270
0x9A018E5dfBbF40F6102ac0d707F8b68166Bd5685,1270
0x68Abb7cb9a9F9dCa56E15828B06E65dC7e15Da47,1265
0xF096a5C755209dACab3F6430f4E85b38764fbf58,1265
0xa4e5fcC5D6BA73175E47DB5655acd0020fDabd87,1260
0x244Cb7b4B905483dE4F98bC751c6EbbCcfbd3Ef5,1255
0x8357C4ea5F58b349a8f980CaAb4bb3fF3797734B,1255
0xa078212EA67599dc4f59817fEC8140e10B0224a1,1255
0xA1138Cdc67B166da382e3301855a7065A008a809,1255
0x03A507043314ef13A83aFFFbAf15d89055F64666,1240
0xc3480C1e80A7D238b0D162Dc1B5F410D4A40283d,1240
0x39Ec25C92EE91cAE3775db9cCd50df1Fa108D066,1231
0x8fa35AE03431B23B0c01624983D2aD8DcC76AbFE,1225
0x662e0a3Ec10b7beb5Fc0CECE638331F895c399e6,1217
0xE4BAb9c612d7596b84834ad90b6dF7320B85F437,1216
0x0056EB0452D94226278D54Abe40606C67972ef74,1214
0x35Af370930e7ce9268ce96A2444e25C4C7ec585B,1209
0xd9ee988A898464d848b57Ae32FD8Cce0991Ba24f,1207
0xD7eAb2b829844e842064FFd2df37bEe5Cf23286a,1205.5
0xb2308b923296D03932a49BB9C52fB20500d9E6BC,1200
0xBCEAEE70d2d3265ff8Ca1901f999Ea5887E6a639,1200
0x33fA83e5622d32974e09d5993f47c0eBF6FCADf5,1190
0x04f56519dE241935905729A9120758616ffF0B36,1185
0x6F50efe6885D3057718D48aE6d694651e15eA069,1180
0xFcBeCCd44649dA5Acfaa269F6Aac9347cFf7038b,1175
0x58A92ed8A8Df9BDCBfb0d7FBA4ffFeC6D52C6008,1165
0xb39BF4d0a51FBe4525D34928425317B7cDaf63E9,1165
0xfcb19fb84bEf2cfF8De2c32620b463C1E3b632Bf,1160
0x0774c01bccdE4FC0040845b19C1Cd1b86aaD5365,1145
0xF507d8235ec866CF78e5DA89e59BCf141346bEBE,1145
0xE31B6Db0CC6E778Cd0C1182A2301d2733bb2Fd0A,1140
0xa6ef34C6cD494dBF4D9ad8ad30963552A5fbbffe,1137
0x2223aC80382eDeA674c1378237b799d0610dE55a,1135
0xb1EEB09C753423E08Ce41b5e57430FAd95008263,1135
0xc4DCB599Efc2c923fE09773C96150F5f3E8C4B9c,1121
0x4fE4FE34dfd1Cc0Eb0fE6cF6FaF41F65e3A5649b,1110
0x5A3f93d1D7de357289B256e724206c9d323a3F2E,1110
0xB6DB3E9E6996Ec70E2397F316C291226d3a68db7,1080
0xd0754a8559E784289f7AB570dba47caD9c30B69b,1080
0xdFAEFdB83108aC53251002425FC1152D3a6B0d5e,1080
0xA39E6E219184dBFEd75fB9D82c012B75551dDE58,1079
0xab15aABC986DE6eB29f3efEb7CC911c966d37755,1079
0xC7FB6767195206A809be33e679DB5141915E0D42,1073
0xEB0F17b7aA4544015C945a3c492fFba3E99AEe52,1060
0x93f28fFA811c7A0e30B1613E41C008eED62dEBE3,1040
0xc0229733799A32FCBDA487554867239B341bF958,1040
0x48C1124aF302F54758eDb3B51FF2de71D1454C1d,1033
0x71a2Ed3C42D4a75F3a25FcD5C622eA32C8ccA2c5,1031
0xf30F4d5C1602Cca865d2B38ae30124B564407d30,1027
0xEAfFbFaeEFa5449Ef8d5b911DD2f6a0446d9000c,1022
0x7cc6a93A60BdFaC4a38C5F6c9FF2f368225a2B95,1020
0xa4e1981BC036b0378f2488B091F99a7399d4be1b,1011
0x0BC1c556d9798FD824Fc8865Fa75b8E646785312,1000
0x35226E78809a5DaE4562B0B1fC4cf96cdb6A01A8,998
0xe77FB6d4a9d94d919FD290f2EF1a21b618Ba9EB2,994
0x43C89695265D1164B5b4d07fd9322607ff118dAE,990
0x41Cd286e6A61F430EE57c8Cd142B906D9FdbAbdA,980
0x1Ec950A58307add69266d45Cf2f34c838Ae7899e,970
0xE9d414A0CCaBF3429Bc460A169c2Fab6EBd0b479,969
0x8E616eC73F237D7e15e543f6676d676a145B4F2c,948
0x95a4dD73DE6bD524766b32b55573806eE4DE3CcE,940
0xA8DeBe7143d8fe2689EA0a5A620002326a15ED24,935
0xB1ff625Bc6Fa75aCA4019aFe2dA75aBC8134B826,931
0xE745C9Eb6fF1Fc1bA32B7CBB0966144735B5e44d,930
0x9dF5b07E22094C00188c27F3859fEcd3428EB17d,920
0x6e59980C0DC7B7d08EeEf037c81Cb23f860a05b6,916
0x0aF3B914f8eff37219530E57D9f4D1c946eBB8A6,900
0xfcBd83A733D381776B76e1B9C8895D41016C2513,868
0x16e93103eB63d7808aE908B38C71327b614F9Fa2,865
0x068748648DE1AFF79f8045a3E0B74b6f227f5837,860
0x2617076766403F70dCBdf2119bb904354948D9c7,860
0x58016ac9C77a8e17B0571DB3971730A404168704,860
0xF4Cc5A237dE073AEe546137aE6532D206F02A470,860
0xb745e60A86b1EE6e8b213802878c965FF610322b,858
0xE4B133F6C362f1c01Ea9178099a804722bd3Cea0,858
0xc7d607B77AF577faB47ce552A7036E1e2a44f703,849.5
0x95B4e1F88289758999094E45F9870c0543aE412C,840
0xA539d22B9e95cDFeE0025FEFB6D2b7037a22C4D8,840
0xf62851fe4af9DD1822530f540a54DbB699295581,835
0xa2D86BaDb6e757e1E6520d2F7936c509958E3ef3,829
0xDadc4D7142112E3Fd3e135Eba6E18F3BFbb19A1B,810
0x6478f84a88950e39CD242df5AF9E824E897AA658,800
0x888AC07F543d5774F5269efB2a64200dF0aAe902,798
0x0040fb88DC50e754567a60c447117cF0Ee1EEa4d,790
0x44f5C4F7b152eC27D91bfd5856efD76804b3090a,780
0x8c49902BC45763D6De1971506b82cc23F1252490,780
0xaC9517A6c1aFC2bbC7a68e306F605Fa6E2179ca2,780
0x0e9592026D936e0a9cc56fc6105736Be5443029D,770
0x4eAfc87a4D4546cb6A42e8ebC04737E008C7a7dC,770
0x81D07093abdc6B5215474ccDe4944C872565c66a,763
0x481aE6AE014df77260818a63b761a55D4A3CAb0c,760
0xD3d1d6e23EA9Ae3103de17578ED32aB54a26BDc8,748
0xaac25459bdc547ef6E941303f410239cF776941b,745
0xDb25FF796E694e2F6e11438fD53A0813Dee3D5A0,740
0xAd9746F10209C9598338cbB10bD3080953d1CBd9,735
0x069B22Af99547270d16775A50feF863174321503,732
0x5437b638707859a469C44eFbECFf9dd4b2591a7b,720
0x7fC206B951380e36Fa151f0626b149B5BCc0432c,717
0xe6CcB30401332aeE581a9CE083Fb6a54973EC229,710
0xF77980e1D270A839EBaae9AF14FaFC699a5f9Dc0,710
0x394F290C9C89e51f150F40A565381F79396adD33,705
0x96437141fd19BA767F037E8dBBaCd2BAD7a08bAB,699
0xAefCDA6b2cF4EcC7A7E07099C79a729a7c8b91f7,696
0xdD3EC807bC8B6B3EB6AbeB2a014d4c3E736981EA,694
0x5e3629B02C2b7DDB9092d188c5807f46dA77AfA3,685.1
0x9B39dB4E27212217e35DaA2BB8C424243C63D856,680
0x6F1Faf12a48B496AE3BcEd342938117DB06999f6,670
0xF0F4A383bD45290b024F062aa2c213b7430A44b6,668
0x904b174CDcF9ab2ecfEF5531FE57C16Eec4e9a11,667
0x3Ac4b9435372ce8ec8E8AE0d5057C9Ce1956750c,660
0xF8Ea2EeF565C586A69cfdd07d9BaC52B0202cf0c,650
0xa09eE279487ff6820884165f941aFe6f51d9e8C7,645
0xc78ED989d84EAe2537dA1079e0A4B314a71A4369,641
0xf3B7c28da58385cF318603fb95012275AB57C1A7,635
0x15F5939fa021948178f2D4CF9a974934B80997c6,620
0x3337ff6a59318E5a121E8C1D5543803A07B0cE4E,620
0x97df3180b6AC60608CEEc289362E834D530b51aD,620
0xC4D9b0e89a03D0BD6bA8239649881555F6d041Ae,620
0xD9154Dc4efa7950C18aceD5782437d65e947d288,620
0xfcdBFf7f2352b6a2cf3Fd432E5837821bFE63773,620
0x1B6D7d48875A84a178b67aCAA049f2144E51383D,619
0x46f713dB2A3625800F57EB11d382Faf97705c0Df,615
0x4FC31B333e7F4E3C12f081870e16A67e1962946D,615
0xDEF571BAe16B10C998d2432434e2303591221E4A,614
0xE79Ee7232BCF8D0d3E8344e0902A163C856A8D92,610
0xA96C86A4c8EE98ff674Fd3474e5E9b4Bb090b4c6,600
0x7F470e1ba36BCcE395A7758603E35E1d93cB3Fd4,594
0xFF9CcbD8492cA65128015c538b32FC9AA934A146,590
0xe306fcd6F4CE98305c9488f8EA7A3611Ce344D8F,580
0xc960517deE7a3FC8b1F28481fd82756023D3470D,570
0x8AED145c9206808766AD816112f9AE6D9bA31849,562.5
0x94E23585b4edA0f609DE06c03943599cac861183,561
0x2C25FD735eDE8048Da57ABF6C479e03c243A6add,555
0x18014cEBF2a180B436450Daff91D3A8159e8583f,554
0x6D095BF23E235a6dAeB572c3F9B0f3d2575EAF1D,552.6
0x46950F4cA9063716869a54C148dFB9160721CCbD,540
0xc799DD327b5D6c6E4Ed5bbEC510b49A1ce4bB6d7,537
0xA10217099F1245eaff90d2966570497d5B2Ce71a,533
0x2daB8f51a50E62157ac714aA3638b569d50eC75d,530
0x3E60a68160bB358981Cea63253Df7E1bc81c431F,530
0xAA5245448f66358cAF475a9ffB9f9a6ABF756c33,530
0x21EEe940E79142FDed325A3178CB55670Bd8EF97,524
0x90759AaeB2833A49635Cb2911D3c7E33dF490964,523.5
0x5708f217C0Da3f51CC3F0eF5411f751bdc7c0610,522
0x4Fb59db20f72512C4f9f6B18CC9E042f235a42D7,520
0x9D292255ddc87532974EF5b13CB5d8C44BFcab23,511
0xe0394c3b08Ba043b6924Bc691b100b600c55cCc6,509
0x8D4Fbf807AEfECFfc824AaEf7d738703B6CF24eb,505
0x0f74af152286aF7EeBd9840cEbfeB0fFcdD98599,502
0x7ead85B59Bc87a61bc144c1bCE45fb12aA27A749,502
0x2088726Fa728A9a2Df7B4A876E97572D07126CFA,500
0x441eE75085762664B6c4269d0F20414e56CB4a37,490
0x630da2C72d801c95Fd0dC9311f4907C28CBce71E,490
0x6c22d6D755370F298bf3934Df108eF6A04C6d856,490
0xfDF13576D654c42135B8fF3Aa1CB47b1BD6FB2c4,490
0xDDeBE9a48cDCD38677739384FaBCc00C9933b1Ce,485
0x348ec19d87f5aD9Cb5aa7e3f135e0219D5D1747D,481
0x1E379e0ecFFdDAfFeEFad48b811BCc873C199e28,480
0x4E376347a9a778c1e27C097e1b4719246D26868c,479
0x39ec346cf502142808cd427Ac7D438c312010f48,469
0x5BA87677d86F2Aa1eb115188D23DBbBc8360B3E1,467
0xFd240Ca6235765E6989270142C9e9a4E705Fbe53,465
0x8A04a8AA962184143ceBC4EA9295CB959a8cD259,461
0x424D79eB7D332A393506079cA4f318DffccEdcD8,460
0xaA3455a35AFe3a0311957981E505Ed99b0cE5014,450
0xE64A206C62D671bC3873e9aBb59cbd3BdB638b10,447
0xc552B9D7984bc320BeF601EceF2d782CcB4f83Dc,446
0xE87e23E60878b4e514cBBa8C5a78C288Eb760205,445.5
0x364857cCb6C76fDc9ef81ff5912bA94B4E77F5d5,443
0x14A5D5B8043B2951bd8D9e6e90f06832E385258b,440
